iter	Passed	Remaining
0	147	147382
1	149	74445
2	151	50310
3	153	38299
4	156	31137
5	159	26495
6	162	23038
7	165	20481
8	168	18548
9	170	16895
10	172	15506
11	174	14375
12	176	13422
13	178	12600
14	181	11902
15	183	11281
16	185	10726
17	187	10230
18	189	9783
19	191	9377
20	193	9003
21	195	8671
22	197	8374
23	199	8110
24	201	7853
25	203	7626
26	205	7404
27	207	7199
28	209	7011
29	211	6825
30	213	6658
31	215	6508
32	216	6352
33	218	6213
34	220	6081
35	222	5952
36	223	5822
37	225	5710
38	227	5603
39	229	5501
40	231	5407
41	233	5316
42	235	5230
43	236	5138
44	238	5056
45	240	4983
46	242	4910
47	244	4841
48	245	4759
49	247	4695
50	248	4632
51	250	4575
52	252	4519
53	254	4465
54	256	4411
55	258	4359
56	260	4312
57	262	4265
58	264	4220
59	266	4172
60	268	4127
61	270	4088
62	272	4050
63	274	4012
64	276	3974
65	278	3937
66	279	3896
67	281	3860
68	283	3827
69	285	3795
70	287	3763
71	289	3733
72	291	3704
73	293	3673
74	295	3644
75	297	3616
76	299	3589
77	301	3562
78	303	3538
79	305	3512
80	307	3486
81	309	3461
82	310	3425
83	311	3400
84	313	3379
85	315	3358
86	317	3336
87	319	3312
88	321	3292
89	323	3271
90	325	3248
91	327	3227
92	329	3208
93	330	3188
94	332	3170
95	334	3151
96	336	3131
97	338	3113
98	340	3095
99	342	3079
100	344	3062
101	345	3045
102	347	3027
103	349	3012
104	351	2995
105	353	2979
106	355	2962
107	356	2946
108	358	2932
109	360	2919
110	362	2905
111	364	2891
112	367	2883
113	369	2868
114	370	2854
115	373	2845
116	374	2828
117	376	2816
118	379	2807
119	381	2794
120	383	2783
121	384	2769
122	386	2757
123	388	2745
124	391	2740
125	393	2727
126	394	2712
127	397	2705
128	398	2693
129	400	2681
130	403	2674
131	404	2662
132	406	2651
133	408	2639
134	410	2632
135	412	2621
136	414	2609
137	416	2599
138	418	2589
139	419	2579
140	422	2573
141	423	2559
142	425	2549
143	427	2540
144	429	2533
145	431	2523
146	433	2514
147	435	2508
148	437	2501
149	439	2491
150	441	2482
151	443	2473
152	445	2463
153	447	2457
154	449	2448
155	450	2439
156	452	2432
157	454	2422
158	456	2413
159	458	2406
160	459	2395
161	461	2384
162	462	2374
163	464	2366
164	466	2358
165	467	2350
166	469	2342
167	471	2335
168	472	2325
169	474	2317
170	476	2310
171	478	2304
172	480	2297
173	482	2289
174	484	2283
175	485	2273
176	487	2266
177	489	2258
178	490	2250
179	492	2243
180	494	2236
181	496	2231
182	498	2224
183	500	2217
184	502	2214
185	504	2206
186	506	2199
187	508	2194
188	509	2187
189	511	2181
190	513	2175
191	515	2168
192	516	2160
193	518	2152
194	519	2145
195	521	2139
196	522	2130
197	524	2124
198	526	2119
199	527	2111
200	529	2105
201	531	2099
202	533	2094
203	535	2089
204	537	2083
205	539	2078
206	540	2070
207	542	2065
208	544	2060
209	546	2054
210	547	2048
211	549	2041
212	550	2034
213	552	2029
214	553	2022
215	555	2017
216	557	2012
217	558	2004
218	560	1999
219	562	1994
220	564	1989
221	566	1983
222	567	1978
223	569	1973
224	571	1968
225	573	1963
226	575	1958
227	577	1953
228	579	1949
229	581	1945
230	583	1940
231	584	1935
232	586	1931
233	589	1929
234	590	1923
235	592	1918
236	594	1912
237	596	1909
238	597	1903
239	599	1898
240	601	1893
241	603	1890
242	604	1884
243	606	1880
244	608	1875
245	610	1870
246	611	1865
247	613	1860
248	615	1856
249	617	1851
250	619	1847
251	621	1844
252	622	1838
253	624	1833
254	626	1829
255	627	1824
256	629	1820
257	631	1816
258	633	1812
259	634	1806
260	635	1800
261	637	1795
262	639	1790
263	640	1786
264	641	1779
265	643	1774
266	644	1770
267	646	1766
268	648	1762
269	650	1758
270	653	1757
271	655	1753
272	656	1749
273	658	1745
274	660	1740
275	662	1736
276	664	1733
277	665	1729
278	667	1725
279	669	1720
280	671	1718
281	672	1713
282	674	1709
283	676	1706
284	678	1702
285	680	1698
286	681	1693
287	683	1690
288	685	1686
289	687	1682
290	689	1679
291	691	1675
292	693	1672
293	694	1668
294	696	1665
295	698	1662
296	700	1658
297	702	1655
298	704	1652
299	706	1648
300	708	1645
301	710	1641
302	711	1637
303	713	1633
304	715	1630
305	717	1626
306	719	1623
307	721	1620
308	722	1616
309	724	1612
310	726	1609
311	727	1605
312	728	1599
313	730	1596
314	732	1592
315	734	1589
316	735	1584
317	737	1581
318	739	1578
319	741	1574
320	742	1571
321	744	1567
322	746	1563
323	747	1560
324	750	1557
325	752	1555
326	753	1551
327	755	1548
328	757	1545
329	759	1542
330	761	1538
331	763	1535
332	765	1533
333	766	1528
334	768	1525
335	770	1522
336	771	1518
337	773	1514
338	775	1511
339	777	1508
340	778	1505
341	780	1501
342	783	1499
343	784	1495
344	786	1492
345	788	1489
346	790	1487
347	792	1483
348	793	1480
349	796	1479
350	798	1475
351	799	1472
352	801	1469
353	803	1465
354	804	1461
355	806	1458
356	807	1455
357	809	1450
358	810	1447
359	812	1444
360	815	1442
361	816	1439
362	818	1436
363	820	1434
364	822	1431
365	824	1428
366	827	1426
367	828	1422
368	830	1419
369	832	1416
370	833	1413
371	834	1409
372	836	1406
373	838	1404
374	840	1401
375	842	1398
376	844	1395
377	846	1392
378	848	1390
379	850	1386
380	851	1384
381	853	1381
382	855	1378
383	857	1375
384	859	1373
385	861	1370
386	863	1367
387	864	1363
388	866	1360
389	868	1357
390	869	1354
391	871	1352
392	873	1349
393	875	1346
394	877	1343
395	879	1340
396	881	1338
397	883	1335
398	885	1333
399	887	1330
400	889	1328
401	891	1325
402	893	1323
403	895	1320
404	896	1317
405	898	1315
406	900	1312
407	902	1309
408	904	1306
409	906	1304
410	908	1301
411	910	1299
412	912	1296
413	914	1294
414	916	1291
415	917	1288
416	919	1286
417	921	1283
418	923	1280
419	924	1277
420	926	1274
421	928	1271
422	930	1269
423	932	1266
424	934	1263
425	936	1261
426	938	1258
427	939	1255
428	941	1252
429	943	1250
430	945	1247
431	946	1245
432	948	1242
433	950	1240
434	952	1237
435	954	1234
436	955	1231
437	957	1228
438	959	1226
439	961	1223
440	963	1221
441	965	1218
442	966	1215
443	968	1213
444	970	1210
445	972	1208
446	974	1205
447	976	1202
448	978	1200
449	979	1197
450	981	1195
451	983	1192
452	985	1190
453	987	1187
454	989	1184
455	991	1182
456	993	1179
457	994	1177
458	996	1174
459	998	1171
460	999	1169
461	1001	1166
462	1003	1163
463	1005	1161
464	1007	1158
465	1008	1156
466	1010	1153
467	1012	1150
468	1014	1148
469	1016	1146
470	1018	1144
471	1020	1141
472	1023	1140
473	1025	1137
474	1027	1135
475	1030	1134
476	1032	1132
477	1035	1130
478	1037	1128
479	1039	1126
480	1042	1124
481	1044	1122
482	1047	1120
483	1049	1118
484	1051	1116
485	1054	1115
486	1057	1113
487	1059	1111
488	1061	1109
489	1063	1107
490	1066	1105
491	1069	1103
492	1071	1101
493	1073	1099
494	1076	1097
495	1078	1095
496	1080	1094
497	1083	1091
498	1085	1089
499	1087	1087
500	1089	1084
501	1091	1082
502	1093	1080
503	1096	1078
504	1098	1076
505	1100	1074
506	1103	1072
507	1105	1070
508	1107	1068
509	1109	1066
510	1111	1063
511	1113	1061
512	1115	1058
513	1116	1056
514	1118	1053
515	1120	1050
516	1122	1048
517	1124	1046
518	1126	1043
519	1128	1041
520	1129	1038
521	1131	1036
522	1134	1034
523	1136	1032
524	1138	1029
525	1140	1027
526	1143	1026
527	1145	1024
528	1147	1022
529	1149	1019
530	1151	1016
531	1152	1014
532	1155	1012
533	1157	1009
534	1159	1007
535	1161	1005
536	1163	1002
537	1164	1000
538	1166	997
539	1168	995
540	1169	992
541	1171	990
542	1174	988
543	1176	985
544	1177	983
545	1179	980
546	1181	978
547	1183	975
548	1185	973
549	1187	971
550	1189	969
551	1191	966
552	1193	964
553	1194	961
554	1196	959
555	1198	957
